Year,CO2 emissions (kt)
1971 [YR1971],313246.141
1972 [YR1972],329952.993
1973 [YR1973],336128.221
1974 [YR1974],346876.198
1975 [YR1975],375559.472
1976 [YR1976],399035.606
1977 [YR1977],419024.423
1978 [YR1978],432056.941
1979 [YR1979],442489.556
1980 [YR1980],464575.897
1981 [YR1981],410062.275
1982 [YR1982],422211.046
1983 [YR1983],422339.391
1984 [YR1984],433894.108
1985 [YR1985],445899.866
1986 [YR1986],453369.545
1987 [YR1987],465353.301
1988 [YR1988],445976.873
1989 [YR1989],423787.856
1990 [YR1990],350220
1991 [YR1991],351630
1992 [YR1992],343370
1993 [YR1993],344020
1994 [YR1994],339750
1995 [YR1995],340000
1996 [YR1996],355320
1997 [YR1997],344630
1998 [YR1998],318410
1999 [YR1999],308980
2000 [YR2000],295710
2001 [YR2001],293600
2002 [YR2002],287280
2003 [YR2003],297700
2004 [YR2004],301820
2005 [YR2005],301350
2006 [YR2006],314090
2007 [YR2007],313370
2008 [YR2008],308320
2009 [YR2009],297260
2010 [YR2010],313740
2011 [YR2011],310590
2012 [YR2012],303350
2013 [YR2013],298330
2014 [YR2014],285740
2015 [YR2015],289050
2016 [YR2016],299740
2017 [YR2017],312820
2018 [YR2018],312740
