Year,Agricultural methane emissions (thousand metric tons of CO2 equivalent)
1971 [YR1971],22764.07061
1972 [YR1972],23747.83835
1973 [YR1973],25283.21252
1974 [YR1974],26911.36537
1975 [YR1975],27377.54113
1976 [YR1976],26688.35752
1977 [YR1977],27042.61045
1978 [YR1978],27409.85626
1979 [YR1979],27168.31018
1980 [YR1980],26501.94829
1981 [YR1981],24807.64248
1982 [YR1982],25164.45773
1983 [YR1983],24167.83909
1984 [YR1984],24509.82856
1985 [YR1985],24507.59325
1986 [YR1986],24292.99192
1987 [YR1987],23427.00025
1988 [YR1988],23179.49026
1989 [YR1989],23940.7878
1990 [YR1990],25750
1991 [YR1991],23470
1992 [YR1992],21840
1993 [YR1993],20090
1994 [YR1994],19840
1995 [YR1995],19090
1996 [YR1996],18350
1997 [YR1997],18670
1998 [YR1998],17880
1999 [YR1999],17000
2000 [YR2000],16010
2001 [YR2001],15360
2002 [YR2002],15110
2003 [YR2003],15070
2004 [YR2004],14550
2005 [YR2005],14840
2006 [YR2006],15120
2007 [YR2007],15150
2008 [YR2008],14950
2009 [YR2009],14560
2010 [YR2010],14680
2011 [YR2011],14380
2012 [YR2012],14170
2013 [YR2013],14140
2014 [YR2014],14180
2015 [YR2015],14250
2016 [YR2016],13980
2017 [YR2017],14410
2018 [YR2018],14690
