Year,Nitrous.oxide.emissions.,Cereals.Total,Potatoes
1971,37691.04,28346210,42619605
1972,38576.71,28911646,51574900
1973,43345.13,30132506,54800486
1974,45306.19,31093909,51383477
1975,46495.35,27446629,49189801
1976,45570.62,28658665,52619664
1977,45052.3,27424996,43753114
1978,45157.7,29416690,49205199
1979,43692.33,25234198,52215644
1980,42734.12,26205947,28846878
1981,39221.51,27652185,45007846
1982,38505.41,29286687,34275102
1983,38738.53,30231578,36848148
1984,37945.55,32581375,39758139
1985,36851.87,31975403,38815660
1986,37214.88,33303737,41240456
1987,36149.1,34473651,38373742
1988,36435.54,32972378,36758580
1989,35743,35366606,36433994
1990,24920,36577197,38345977
1991,24010,36559688,30938420
1992,23110,28307266,25278166
1993,23780,31950781,38237224
1994,24040,30270087,24890640
1995,24550,34506752,26577192
1996,24600,34046935,28761810
1997,25110,34327440,22241111
1998,23650,36033151,27444051
1999,23270,34481217,21351732
2000,23720,31179589,25676761
2001,23500,35811818,20735362
2002,23040,35203080,16519440
2003,23670,31582668,14676587
2004,23760,38047796,14908170
2005,24590,35289159,11133730
2006,24670,30183042,9729600
2007,25570,35528166,12567678
2008,24350,36295275,11201591
2009,21020,38443994,10401770
2010,21740,34860982,9059714
2011,21420,34604733,9998625
2012,21890,36285230,9708651
2013,21030,35972650,7847185
2014,20500,39473069,8243768
2015,20680,35551856,6824231
2016,21620,37289822,9468645
2017,21550,39568956,9779559
2018,21480,34121557,7854226
